1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
240	-0.374090	89.987851	25.774597	0.002554	1
241	-0.403709	90.987851	25.544442	0.001598	1
242	-0.407426	91.985747	25.318832	0.002562	2
243	-0.387767	92.964873	25.101306	0.004517	1
244	-0.395411	92.817674	25.133769	0.002922	2
245	-0.404861	92.670475	25.166316	0.002642	1
246	-0.377941	92.523372	25.198927	0.002878	2
247	-0.412186	93.523372	24.978894	0.006859	0
248	-0.379139	93.376173	25.011041	0.001830	2
249	-0.385256	93.229232	25.043214	0.002518	1
